Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
Bioinformatics,Hybrid,7.0,Leadership,"Assembly, PowerShell, Dart","Unity, Sketch, PyTorch, Azure, AWS",,True,True,0,"Video Editing, Startup Ideation Events, Technical Writing, Debate Clubs","Cryptography, Digital Logic Design, Information Security, Sociology",0,"Pragmatic, Strategic",Cybersecurity Analyst
Big Data,Remote,9.5,"Multitasking, Work Ethic, Planning and Organization, Attention to Detail, Analytical Thinking","Go, JavaScript, R","Spark, PyTorch, Kubernetes","Google Data Analytics Certificate, Machine Learning (Stanford/Coursera), IBM Data Science Professional Certificate, Deep Learning Specialization (Coursera)",False,True,5,"Animation Design, Debate Clubs, Volunteering","Biology, Data Structures and Algorithms, Big Data Analytics",4,Analytical,Data Scientist
"Database Engineering, Education Technology, Software Engineering",Hybrid,7.4,"Leadership, Conflict Resolution, Goal-Oriented Mindset, Multitasking",,"Node.js, TensorFlow, Jupyter Notebook, ELK Stack, Tableau",HashiCorp Certified: Terraform Associate,False,False,4,"Student Government, Workshop Hosting, Photography, Community Service","Chemistry, Data Mining, Machine Learning",2,"Pragmatic, Collaborative",AR/VR Developer
"Platform Engineering, Mobile App Development, Bioinformatics",Remote,8.8,"Negotiation, Decision Making, Empathy",Python,"Prometheus, TensorFlow","CompTIA Security+, Google UX Design Certificate",True,True,5,Startup Ideation Events,"Chemistry, Robotics, Machine Learning",3,"Detail-Oriented, Collaborative",Platform Engineer
"Mobile App Development, Frontend Development",Hybrid,9.7,Strategic Thinking,Rust,"Cypress, Flutter, NumPy, Core Data, SwiftUI","iOS App Development with Swift (Apple), Google UX Design Certificate, Backend Development (Node.js)",False,False,4,"3D Modeling, Music","Mobile Application Development, Software Engineering",3,Detail-Oriented,Mobile Developer (iOS)
"Web Development, Game Development, Machine Learning",Hybrid,6.6,Strategic Thinking,"SQL, Shell (Bash), JavaScript, Rust","Bitbucket, PyTorch","Google Data Analytics Certificate, SAFe Agilist Certification, Salesforce Certified Administrator",True,False,3,"Online Coding Contests, 3D Modeling, Video Editing, Public Speaking","Chemistry, User Interface Design, Object-Oriented Programming",4,Detail-Oriented,MLOps Engineer
"Platform Engineering, Bioinformatics",Hybrid,7.9,"Problem Solving, Multitasking, Teamwork",,"NumPy, Pytest, Kubernetes",Microsoft Certified Azure Fundamentals,True,False,6,Startup Ideation Events,"Robotics, Data Structures and Algorithms, Digital Logic Design",2,"User-Centered, Intuitive",Business Analyst
"Natural Language Processing, Web Development, Data Science",Remote,8.4,"Leadership, Accountability, Analytical Thinking",C++,"Scikit-learn, PostgreSQL, Postman, Flutter, Insomnia, Podman",Deep Learning Specialization (Coursera),True,True,8,Public Speaking,"User Interface Design, Web Technologies",2,Detail-Oriented,Project Manager
"Entrepreneurship, Technical Writing, DevOps",On-site,8.7,"Innovative Thinking, Adaptability, Empathy","MATLAB, Go","Scikit-learn, PostgreSQL, VS Code, Mocha, Podman, Confluence",Linux Foundation Certified Kubernetes Admin,False,False,5,"Teaching/TA Work, Graphic Design","Entrepreneurship, Digital Logic Design, Big Data Analytics, Project Management",0,Data-driven,AI Ethicist
"Mobile App Development, Networking, Computer Vision",Hybrid,7.2,"Leadership, Emotional Intelligence","Assembly, PowerShell, R, Python","Unreal Engine, Sketch, Spark, Laravel","Responsive Web Design (freeCodeCamp), Linux Foundation Certified Kubernetes Admin, Microsoft Certified: Azure AI Engineer",False,False,6,AR/VR Projects,"Chemistry, Sociology, Computer Vision",3,Detail-Oriented,Network Engineer
"Deep Learning, Artificial Intelligence",On-site,6.6,"Emotional Intelligence, Empathy, Presentation Skills",Java,"Git, MySQL, Spring Boot, AWS",,True,False,5,,"Linear Algebra, Software Engineering",4,Systematic,Machine Learning Engineer
"Artificial Intelligence, Machine Learning",On-site,7.1,"Innovative Thinking, Multitasking, Conflict Resolution","TypeScript, PowerShell","GitLab CI/CD, Prometheus, Tableau",,False,False,0,"Case Competitions, Mentorship Programs, Community Service, Photography","Business Intelligence, Big Data Analytics",0,"Data-driven, Result-Oriented",Data Scientist
"Natural Language Processing, Bioinformatics, Digital Marketing",Hybrid,7.4,"Collaboration, Adaptability","C#, Haskell","Unity, Weights & Biases, Prometheus, Power BI, Swagger, InVision","Google Cloud Associate Cloud Engineer, Certified ScrumMaster (CSM)",True,True,6,"Workshop Hosting, Club Leadership Roles, Technical Writing","Calculus, Virtualization and Containers, Sociology, Cryptography",0,"Detail-Oriented, Result-Oriented",MS in Data Science
"Systems Programming, Deep Learning, Machine Learning",Remote,9.1,"Leadership, Business Communication","HTML, Rust, Go, Ruby","Django, Flutter, Jira",,True,True,4,Community Service,"Distributed Systems, Operating Systems",2,Experimental,Security Engineer
"UI/UX Design, Software Engineering",Remote,6.6,"Resilience, Decision Making","TypeScript, SQL, Ruby","Podman, Prometheus, Angular, Express.js",Machine Learning (Stanford/Coursera),False,True,4,"Photography, Teaching/TA Work, Podcast Creation","Psychology, Cloud Computing, Data Structures and Algorithms, Software Engineering",3,Analytical,Solutions Architect
"UI/UX Design, DevOps, Finance Technology",Remote,6.7,"Analytical Thinking, Accountability, Business Communication, Creative Thinking, Empathy","TypeScript, PHP, Dart, Ruby","Airflow, PyCharm","Linux Foundation Certified Kubernetes Admin, HashiCorp Certified: Terraform Associate, Certified ScrumMaster (CSM)",False,False,5,"Technical Writing, Event Management","Web Technologies, Object-Oriented Programming, Software Engineering",0,Analytical,Big Data Engineer
"Game Development, Machine Learning",Hybrid,8.4,"Business Communication, Active Listening, Strategic Thinking, Leadership",Kotlin,"Bitbucket, Scikit-learn, VS Code, PyTorch, Azure, Xcode",Google Data Analytics Certificate,False,False,1,"Blogging, Debate Clubs, Music","Distributed Systems, User Interface Design",0,Result-Oriented,MLOps Engineer
Frontend Development,Hybrid,9.1,"Presentation Skills, Negotiation, Active Listening, Goal-Oriented Mindset, Multitasking","Julia, HTML, JavaScript","Git, Ansible, VS Code, Jenkins","Responsive Web Design (freeCodeCamp), Frontend Development Libraries (freeCodeCamp), Google Cloud Associate Cloud Engineer",True,True,2,"Gaming, Debate Clubs","Database Management Systems, Probability and Statistics, Data Structures and Algorithms, User Interface Design",1,Creative,Software Developer (Frontend)
"Deep Learning, Cybersecurity",Remote,6.3,Multitasking,"Julia, Swift","Git, Tableau, IntelliJ IDEA, PyCharm","Responsive Web Design (freeCodeCamp), iOS App Development with Swift (Apple), HashiCorp Certified: Terraform Associate",True,True,6,"Student Government, Podcast Creation, Blogging, Startup Ideation Events","Cryptography, Linear Algebra, User Interface Design, Business Intelligence",1,"Detail-Oriented, Collaborative",MS in Computer Science
"Backend Development, Entrepreneurship",On-site,6.3,"Planning and Organization, Conflict Resolution","PHP, Kotlin, Haskell, TypeScript","Jira, Sketch, PyTorch, Express.js, Google Colab, Django",iOS App Development with Swift (Apple),True,True,0,"3D Modeling, Mentorship Programs, Online Coding Contests","Artificial Intelligence, Machine Learning",2,Intuitive,Technical Consultant
"Backend Development, Mobile App Development, Networking",Remote,6.4,Attention to Detail,"C++, Kotlin, Java, Ruby","Gradle, Vue.js, Weights & Biases, PyCharm",,True,True,5,Entrepreneurship Clubs,"Robotics, Object-Oriented Programming, Software Engineering",1,User-Centered,Mobile Developer (Android)
"Data Science, Big Data",Remote,7.7,"Goal-Oriented Mindset, Accountability, Active Listening","SQL, R, Python","Prometheus, Spark, Tableau","Machine Learning (Stanford/Coursera), IBM Data Science Professional Certificate, Deep Learning Specialization (Coursera)",True,True,5,"Mentorship Programs, UI/UX Projects, Case Competitions","Linear Algebra, Probability and Statistics",3,Data-driven,Data Scientist
"Game Development, Machine Learning",Hybrid,9.4,"Communication, Innovative Thinking, Business Communication",,"TensorFlow, PyTorch, React Native, MongoDB, Hadoop",,False,False,1,"Robotics Competitions, Graphic Design, Entrepreneurship Clubs","Distributed Systems, Data Mining, User Interface Design",4,"Detail-Oriented, Intuitive",MLOps Engineer
UI/UX Design,On-site,6.7,"Decision Making, Analytical Thinking","HTML, CSS","Flask, Insomnia, Adobe XD",,False,True,6,"Photography, Coding Clubs","Technical Communication, User Interface Design",2,"User-Centered, Big Picture Thinker",UI/UX Designer
Design Systems,Hybrid,6.8,"Decision Making, Accountability, Creative Thinking, Emotional Intelligence","Kotlin, R","Airflow, Kafka, MySQL, Podman, Jira","iOS App Development with Swift (Apple), Google UX Design Certificate, AWS Certified Cloud Practitioner",True,True,8,,"Calculus, Machine Learning, Software Engineering, Computer Vision",4,Logical,Quality Assurance Engineer
"Web Development, Networking, Database Engineering",Hybrid,7.0,"Conflict Resolution, Communication, Accountability, Goal-Oriented Mindset, Problem Solving","PowerShell, Shell (Bash)","CircleCI, PostgreSQL, Docker, Spring Boot","Machine Learning (Stanford/Coursera), Microsoft Certified: SQL Associate",False,False,5,,"User Interface Design, Economics",0,Detail-Oriented,Project Manager
"Deep Learning, Data Science",Remote,9.5,"Teamwork, Resilience, Empathy, Analytical Thinking","HTML, Assembly","Git, Docker, MLflow","Machine Learning (Stanford/Coursera), AWS Certified Machine Learning - Specialty, Deep Learning Specialization (Coursera)",False,False,2,"Community Service, Technical Writing, Graphic Design, Online Coding Contests","Human Computer Interaction, Deep Learning, Virtualization and Containers, Software Engineering",3,"Systematic, Collaborative",Machine Learning Engineer
"Deep Learning, Data Science",Hybrid,7.7,"Accountability, Communication, Emotional Intelligence, Multitasking, Active Listening","MATLAB, Shell (Bash), Dart","Jenkins, TensorFlow, Flask, Spark, Hadoop, Confluence",,True,False,5,Innovation Challenges,"Discrete Mathematics, Data Mining, Entrepreneurship",3,"Result-Oriented, Logical",AR/VR Developer
"Database Engineering, Cloud Computing",On-site,7.1,Critical Thinking,"Assembly, Go, Kotlin","Scikit-learn, Jenkins, PyTorch, Pandas, Tableau","Deep Learning Specialization (Coursera), Salesforce Certified Administrator",True,True,1,"Hackathons, 3D Modeling, Video Editing","Robotics, Mobile Application Development, Sociology, Ethical Hacking",4,Result-Oriented,Ph.D. Candidate
"Platform Engineering, IoT (Internet of Things)",Hybrid,6.8,"Attention to Detail, Goal-Oriented Mindset",,"Jest, Vue.js, NumPy, Kubernetes, React Native, Jira","Microsoft Certified: Power BI Data Analyst Associate, Backend Development (Node.js)",False,True,6,Club Leadership Roles,"Cryptography, Data Structures and Algorithms",0,"Detail-Oriented, Strategic",Business Analyst
"Systems Programming, Consulting, Academic Research",Remote,7.6,"Business Communication, Conflict Resolution, Leadership, Customer Focus, Planning and Organization","SQL, Haskell, Ruby","Postman, GCP","Certified Ethical Hacker (CEH), HashiCorp Certified: Terraform Associate, IBM Data Science Professional Certificate",True,True,1,"Tech Meetups, Open Source Contributions","Distributed Systems, Probability and Statistics",3,"Systematic, Creative",Research Intern (General)
"Backend Development, Software Engineering",Remote,7.8,"Collaboration, Decision Making, Resilience, Critical Thinking, Planning and Organization","SQL, C#, Python, Ruby, Go, Java","PostgreSQL, Unity, React, ELK Stack, MySQL, Canva",,False,False,7,"Hackathons, Video Editing, Coding Clubs","Database Management Systems, Bioinformatics, Theory of Computation, Computer Networks",1,"Creative, Logical",Software Developer (Backend)
"Platform Engineering, Database Engineering, Business Analysis",On-site,7.3,Innovative Thinking,"Shell (Bash), Lisp","Jest, PostgreSQL, Sketch, Jenkins",,False,False,7,"Debate Clubs, Animation Design","User Interface Design, Economics",2,"User-Centered, Experimental",Project Manager
"Database Engineering, Software Engineering",Hybrid,8.8,"Time Management, Planning and Organization, Presentation Skills, Critical Thinking, Strategic Thinking","Julia, Java, Python","Docker, AWS","Backend Development (Node.js), Deep Learning Specialization (Coursera), Microsoft Certified: SQL Associate",True,True,2,"Blogging, Community Service","Calculus, Database Management Systems, Object-Oriented Programming, Software Engineering",3,"Strategic, Logical",Software Developer (Backend)
"Deep Learning, Platform Engineering, Frontend Development",Remote,9.1,"Collaboration, Critical Thinking, Adaptability, Multitasking","HTML, PHP","Jest, Postman, GCP","Certified Ethical Hacker (CEH), Project Management Professional (PMP), ISTQB Foundation Level",True,True,3,Graphic Design,"IoT (Internet of Things), Computer Vision",2,Systematic,Research Intern (General)
"Platform Engineering, Mobile App Development",On-site,7.9,"Empathy, Active Listening, Work Ethic",Objective-C,"Scikit-learn, Grafana, Xcode, UIKit, SwiftUI",iOS App Development with Swift (Apple),False,False,5,"Community Service, Public Speaking, Entrepreneurship Clubs","Object-Oriented Programming, Software Engineering",2,"Innovative, Problem Solving",Mobile Developer (iOS)
"Site Reliability Engineering (SRE), Frontend Development",On-site,6.1,Conflict Resolution,"C#, Kotlin, Lisp","Pytest, Canva, Unity, Confluence",,True,True,0,"Mentorship Programs, Debate Clubs, Public Speaking, Video Editing","Psychology, Quantum Computing",1,Intuitive,Systems Engineer
Technical Writing,On-site,8.9,"Adaptability, Analytical Thinking, Goal-Oriented Mindset",MATLAB,"PostgreSQL, Confluence","Google Data Analytics Certificate, Oracle Certified Java Programmer, Cisco CCNA",False,True,2,"Technical Writing, Club Leadership Roles","Cloud Computing, Operating Systems, Project Management",0,Data-driven,AI Ethicist
"Automation, DevOps",Hybrid,6.7,Emotional Intelligence,"Go, Python","Selenium, Prometheus, GitHub, Jenkins",,True,False,0,Volunteering,"Distributed Systems, Database Management Systems, Cloud Computing",3,"Strategic, Problem Solving",DevOps Engineer
"UI/UX Design, Frontend Development",Hybrid,8.0,"Problem Solving, Leadership, Emotional Intelligence, Attention to Detail, Negotiation","Assembly, PowerShell","Figma, Insomnia","Certified Ethical Hacker (CEH), CompTIA Security+",False,False,6,"Debate Clubs, Public Speaking, UI/UX Projects, Technical Writing","Calculus, Graphic Design",2,User-Centered,UI/UX Designer
"Site Reliability Engineering (SRE), IoT (Internet of Things), Entrepreneurship",Remote,7.5,"Goal-Oriented Mindset, Problem Solving, Innovative Thinking, Creative Thinking, Empathy",,"NumPy, Kubernetes",,False,True,6,"Music, UI/UX Projects, Event Management, Club Leadership Roles","Ethical Hacking, Linear Algebra, Probability and Statistics",4,Detail-Oriented,Business Analyst
"Deep Learning, Consulting",Remote,9.3,Attention to Detail,"TypeScript, PowerShell, Dart","Docker, Postman, GCP",,True,True,7,Club Leadership Roles,"Distributed Systems, IoT (Internet of Things)",1,Result-Oriented,Research Intern (General)
"Platform Engineering, Ethical Hacking",Hybrid,8.4,"Collaboration, Goal-Oriented Mindset","C#, JavaScript, CSS, Ruby","Node.js, Sketch, TensorFlow, Mocha, Laravel, Jupyter Notebook","Oracle Certified Java Programmer, Offensive Security Certified Professional (OSCP)",False,True,8,"Public Speaking, 3D Modeling, Hackathons","Chemistry, Discrete Mathematics, Machine Learning",1,"User-Centered, Big Picture Thinker",Platform Engineer
"Networking, Data Science",Hybrid,7.8,Emotional Intelligence,,"NumPy, Jupyter Notebook, PyTorch",Google Data Analytics Certificate,True,True,2,Photography,"Cryptography, Machine Learning, Big Data Analytics",3,Data-driven,Data Scientist
"Backend Development, Database Engineering",On-site,9.6,"Emotional Intelligence, Active Listening, Presentation Skills, Decision Making, Communication","SQL, Ruby, Python","PostgreSQL, Django","Microsoft Certified: SQL Associate, Oracle Certified Java Programmer, Backend Development (Node.js)",False,True,2,"Podcast Creation, Public Speaking, Student Government","Distributed Systems, Project Management, Sociology, Software Engineering",2,Systematic,Software Developer (Backend)
"Ethical Hacking, Backend Development, Business Analysis",Hybrid,7.6,Communication,"Swift, Kotlin, Java","Jest, Postman, MySQL",Microsoft Certified: Azure AI Engineer,True,False,1,"Hackathons, Mentorship Programs, Music","Distributed Systems, Cloud Infrastructure, Entrepreneurship, Object-Oriented Programming",0,"Systematic, Innovative",Blockchain Developer
"Database Engineering, Cloud Computing",On-site,9.1,"Active Listening, Attention to Detail, Time Management","Go, Haskell","Scikit-learn, Express.js, Spring Boot",Certified Ethical Hacker (CEH),True,True,7,Photography,"Mobile Application Development, Sociology, Bioinformatics, Blockchain",1,"Result-Oriented, Analytical",Ph.D. Candidate
Mobile App Development,Remote,9.1,"Teamwork, Innovative Thinking, Empathy, Creative Thinking",,"Spring Boot, VS Code, TensorFlow, Firebase, InVision, Jira","Android Developer Certification (Google), Microsoft Certified: Azure AI Engineer",True,True,2,"Innovation Challenges, Student Government, Podcast Creation, Gaming","Computer Vision, Computer Networks, Sociology, Software Engineering",3,"User-Centered, Collaborative",Mobile Developer (Android)
"Platform Engineering, Data Science, DevOps",On-site,9.0,Goal-Oriented Mindset,Julia,"Node.js, Vue.js, TensorFlow, Swagger, InVision",Microsoft Certified: SQL Associate,True,False,8,"Innovation Challenges, Sports, Community Service","Chemistry, Entrepreneurship, Machine Learning, Cyber Security",0,Big Picture Thinker,Platform Engineer
Systems Programming,On-site,6.8,"Adaptability, Creative Thinking, Analytical Thinking",JavaScript,"VS Code, Postman, Xcode, ELK Stack, Jira","Linux Foundation Certified Kubernetes Admin, PCEP – Certified Entry-Level Python Programmer, IBM Data Science Professional Certificate",False,False,1,"Video Editing, Animation Design, Innovation Challenges","Operating Systems, Software Engineering",1,"Experimental, Intuitive",Security Engineer
"Product Management, Big Data, Software Engineering",Remote,6.8,Presentation Skills,,"Pandas, Swagger, Weights & Biases, Confluence",Microsoft Certified: Power BI Data Analyst Associate,False,False,1,,"Entrepreneurship, Project Management",4,"Data-driven, Pragmatic",AI Ethicist
"Systems Programming, Backend Development, Business Analysis",Remote,6.1,"Multitasking, Presentation Skills, Time Management, Collaboration","Julia, SQL, Swift, R","Bitbucket, Jest, Jenkins, Cypress, DBT, Power BI","Project Management Professional (PMP), Cisco CCNA",False,False,1,"Sports, Teaching/TA Work, Mentorship Programs","Natural Language Processing, Virtualization and Containers, Data Structures and Algorithms, Software Engineering",4,"Experimental, Analytical",Game Developer
"Site Reliability Engineering (SRE), Big Data",On-site,8.6,"Goal-Oriented Mindset, Planning and Organization, Attention to Detail, Problem Solving, Accountability","Julia, Go, Ruby","Docker, Sketch, Kubernetes","Responsive Web Design (freeCodeCamp), IBM Data Science Professional Certificate, Backend Development (Node.js)",True,False,5,Hackathons,"Distributed Systems, Operating Systems",4,Experimental,Software Test Automation Engineer
"Quality Assurance / Testing, Software Engineering",Hybrid,6.5,"Conflict Resolution, Communication, Time Management, Presentation Skills","PowerShell, Swift","Jest, Terraform, Weights & Biases, Kafka, AWS, React","SAFe Agilist Certification, Kubernetes Certified Administrator (CKA)",True,True,4,"Animation Design, Entrepreneurship Clubs","Bioinformatics, Psychology",1,"Creative, Collaborative",Research Intern (AI/ML)
"Deep Learning, Data Science, Software Engineering",Remote,6.9,"Planning and Organization, Multitasking","SQL, C++, R, Python","PyTorch, GCP, AWS",,True,True,5,"Student Government, UI/UX Projects, Tech Meetups","Artificial Intelligence, Linear Algebra, Virtualization and Containers",1,Systematic,Machine Learning Engineer
"Deep Learning, Digital Marketing, Consulting",Hybrid,6.6,"Emotional Intelligence, Planning and Organization, Innovative Thinking, Active Listening","HTML, Lisp, R","Airflow, Postman, GCP","Tableau Desktop Specialist, ISTQB Foundation Level",True,True,2,AR/VR Projects,"Distributed Systems, IoT (Internet of Things)",4,Systematic,Research Intern (General)
"Automation, Cloud Computing",Hybrid,7.7,"Decision Making, Active Listening, Planning and Organization","PowerShell, Go, Kotlin","Bitbucket, Terraform, Android Studio",,False,True,0,3D Modeling,"Human Computer Interaction, Operating Systems",0,"Innovative, Problem Solving",DevOps Engineer
"Full Stack Development, Bioinformatics, Software Engineering",Remote,6.6,Work Ethic,"TypeScript, Lisp","PostgreSQL, NumPy, Figma, Weights & Biases, Confluence",AWS Certified Cloud Practitioner,True,False,7,,"Entrepreneurship, Sociology, Project Management",0,Pragmatic,AI Ethicist
"UI/UX Design, Web Development",On-site,8.8,"Conflict Resolution, Resilience, Attention to Detail, Innovative Thinking, Work Ethic","HTML, CSS","Git, Flask, Weights & Biases",CompTIA Security+,True,False,7,"Hackathons, Video Editing, Sports","User Interface Design, Operating Systems, Web Technologies",1,"User-Centered, Big Picture Thinker",Software Developer (Frontend)
Cybersecurity,On-site,6.1,"Presentation Skills, Problem Solving, Accountability",,"VS Code, Vue.js, Prometheus, Android Studio, Canva, PyCharm",,True,True,3,Volunteering,"Bioinformatics, Probability and Statistics, Object-Oriented Programming",4,User-Centered,MS in Computer Science
UI/UX Design,On-site,9.2,"Adaptability, Presentation Skills, Collaboration, Multitasking",,"React, Confluence, Express.js, Jenkins",,True,True,7,"Debate Clubs, Tech Meetups, Blogging","Data Structures and Algorithms, Digital Logic Design, Economics",3,Big Picture Thinker,Solutions Architect
"Platform Engineering, Digital Marketing, Cloud Computing",On-site,9.6,"Customer Focus, Collaboration, Empathy, Time Management",Rust,"Scikit-learn, Express.js","Linux Foundation Certified Kubernetes Admin, Deep Learning Specialization (Coursera)",True,True,2,"Event Management, Coding Clubs, AR/VR Projects","Database Management Systems, Mobile Application Development, Natural Language Processing, Information Security",3,"Intuitive, Logical",Ph.D. Candidate
Software Engineering,Hybrid,6.6,"Attention to Detail, Adaptability, Work Ethic, Communication, Teamwork",Rust,"PostgreSQL, Confluence","Google Data Analytics Certificate, CompTIA Security+, AWS Certified Security Specialty",False,False,8,"Music, Technical Writing","Discrete Mathematics, Entrepreneurship",2,"Data-driven, Systematic",AI Ethicist
"Database Engineering, Cloud Computing",Hybrid,9.8,"Collaboration, Teamwork, Analytical Thinking",Go,"Scikit-learn, Android Studio, Express.js",,True,True,4,Technical Writing,"Mobile Application Development, Theory of Computation, Sociology",0,Result-Oriented,Ph.D. Candidate
"Web Development, Frontend Development",Remote,7.4,"Presentation Skills, Collaboration, Goal-Oriented Mindset, Business Communication, Negotiation","TypeScript, PowerShell, Lisp, Python","Docker, GitLab CI/CD, Git, React, Angular","iOS App Development with Swift (Apple), Microsoft Certified: Azure AI Engineer",False,True,7,"Blogging, AR/VR Projects, Gaming","Human Computer Interaction, Big Data Analytics",0,"User-Centered, Big Picture Thinker",Software Developer (Frontend)
"Digital Marketing, Academic Research",Remote,6.5,"Resilience, Planning and Organization, Analytical Thinking",TypeScript,"Jenkins, Airflow, PyTorch, GitHub, MongoDB, Jupyter Notebook","Deep Learning Specialization (Coursera), Cisco CCNA",False,False,0,"Mentorship Programs, Photography","Natural Language Processing, Virtualization and Containers, Blockchain, Computer Networks",1,"User-Centered, Experimental",AI Prompt Engineer
"Site Reliability Engineering (SRE), Big Data",Remote,9.0,"Accountability, Conflict Resolution, Resilience, Multitasking",MATLAB,"GCP, Weights & Biases, Sketch, Jira","Linux Foundation Certified Kubernetes Admin, Project Management Professional (PMP)",False,True,2,"Public Speaking, Volunteering, Teaching/TA Work, Robotics Competitions","Distributed Systems, Digital Logic Design, Operating Systems",4,Innovative,Software Test Automation Engineer
"Bioinformatics, Frontend Development",On-site,8.1,"Planning and Organization, Collaboration",PowerShell,"PyTorch, Canva","CompTIA Security+, AWS Certified Security Specialty",False,False,7,"Event Management, Hackathons","Cryptography, Robotics, Big Data Analytics",1,Strategic,Cybersecurity Analyst
"Human Computer Interaction, UI/UX Design",Hybrid,8.3,"Communication, Teamwork, Negotiation","MATLAB, Go","Pandas, Ansible, Figma, Canva",Google UX Design Certificate,False,False,0,,"User Interface Design, Web Technologies",0,Empathy,UI/UX Designer
"Systems Programming, Machine Learning, Big Data",Hybrid,9.2,"Problem Solving, Decision Making, Presentation Skills, Goal-Oriented Mindset, Emotional Intelligence","C++, Python","TensorFlow, Tableau, IntelliJ IDEA","Google Data Analytics Certificate, Microsoft Certified Azure Fundamentals, Google UX Design Certificate",False,True,1,,"Linear Algebra, Machine Learning",4,Analytical,Data Scientist
"Design Systems, DevOps, Machine Learning",Remote,8.2,"Collaboration, Decision Making, Negotiation, Critical Thinking","Shell (Bash), Haskell","Vue.js, Xcode, GCP",,False,True,7,Teaching/TA Work,"Discrete Mathematics, Bioinformatics, Artificial Intelligence, Project Management",3,"Creative, Result-Oriented",Technical Writer
Database Engineering,Hybrid,6.6,"Leadership, Teamwork, Critical Thinking, Goal-Oriented Mindset",Go,"Scikit-learn, Figma, Kafka, Prometheus, Express.js, ELK Stack","Docker Certified Associate, ISTQB Foundation Level",True,True,3,"Tech Meetups, Open Source Contributions, Case Competitions","Cryptography, Mobile Application Development, Sociology",4,"Intuitive, Strategic",Ph.D. Candidate
"Site Reliability Engineering (SRE), Consulting",Hybrid,7.8,Conflict Resolution,"MATLAB, Julia, R, Ruby","Postman, PyTorch, GCP, Power BI, Looker, Tableau",ISTQB Foundation Level,True,True,3,"UI/UX Projects, Hackathons, Teaching/TA Work","Distributed Systems, Entrepreneurship, Quantum Computing",4,"Systematic, Data-driven",Research Intern (General)
"Technical Writing, Software Engineering",On-site,7.1,"Adaptability, Multitasking, Empathy, Work Ethic",,"PostgreSQL, Jupyter Notebook, Confluence","Backend Development (Node.js), Cisco CCNA, ISTQB Foundation Level",True,True,6,,"Mobile Application Development, Data Structures and Algorithms, Project Management",2,"Pragmatic, Strategic",AI Ethicist
"Computer Vision, Technical Writing, Software Engineering",Remote,7.9,"Accountability, Emotional Intelligence, Critical Thinking",C#,"PostgreSQL, Confluence","Google UX Design Certificate, Cisco CCNA, Backend Development (Node.js)",False,False,4,Graphic Design,"Probability and Statistics, Project Management",4,Data-driven,AI Ethicist
"Web Development, Database Engineering",Hybrid,9.6,Teamwork,"C++, CSS","PostgreSQL, Docker","Oracle Certified Java Programmer, Microsoft Certified: Power BI Data Analyst Associate",True,True,1,"3D Modeling, UI/UX Projects, Sports, Innovation Challenges","Natural Language Processing, Robotics, User Interface Design, Economics",2,"User-Centered, Analytical",Project Manager
"Systems Programming, Machine Learning",On-site,9.9,"Emotional Intelligence, Business Communication, Attention to Detail","C#, Kotlin, Java","Unity, Xcode, ELK Stack, Angular, Jira",,True,True,4,"Entrepreneurship Clubs, Community Service","Distributed Systems, Operating Systems, Web Technologies",0,"Experimental, Logical",Security Engineer
"Natural Language Processing, Bioinformatics",Hybrid,8.0,Innovative Thinking,"Haskell, Scala","Google Colab, Sketch, JUnit",,False,False,0,"Volunteering, Mentorship Programs, Workshop Hosting, 3D Modeling","Calculus, Economics, Big Data Analytics",3,"Logical, Analytical",Cybersecurity Analyst
"Site Reliability Engineering (SRE), Data Science",Hybrid,7.3,"Planning and Organization, Multitasking, Business Communication","MATLAB, Ruby, CSS, Scala","Google Colab, Pytest, Laravel, Confluence",Google Data Analytics Certificate,False,False,3,"Tech Meetups, Innovation Challenges, Debate Clubs, Community Service","Robotics, User Interface Design, Big Data Analytics, Quantum Computing",4,"Strategic, Innovative",Systems Engineer
"UI/UX Design, Data Science, Academic Research",Hybrid,7.1,"Analytical Thinking, Critical Thinking, Innovative Thinking, Work Ethic, Empathy","Shell (Bash), Dart","Node.js, Flask, PyTorch, Git, MongoDB","Google Cloud Associate Cloud Engineer, Deep Learning Specialization (Coursera), Salesforce Certified Administrator",False,False,4,"Innovation Challenges, Music, Entrepreneurship Clubs, UI/UX Projects","Virtualization and Containers, Computer Networks",1,Data-driven,AI Prompt Engineer
"Natural Language Processing, Bioinformatics",Hybrid,7.7,"Leadership, Critical Thinking","MATLAB, PowerShell, Swift","Android Studio, PyTorch, Sketch, Cypress",,False,True,0,,"Cryptography, Big Data Analytics",3,Analytical,Cybersecurity Analyst
"Mobile App Development, Game Development",Remote,7.1,"Attention to Detail, Negotiation",Swift,"Git, Confluence, Core Data, SwiftUI","Linux Foundation Certified Kubernetes Admin, Google UX Design Certificate, AWS Certified Security Specialty",True,False,6,"Student Government, Debate Clubs, Club Leadership Roles","Biology, Mobile Application Development, Software Engineering",2,Detail-Oriented,Mobile Developer (iOS)
