Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Machine Learning, Data Science, Game Development",Hybrid,6.1,"Multitasking, Customer Focus",,"GCP, Prometheus, Git","Google Cloud Associate Cloud Engineer, Microsoft Certified: Azure AI Engineer, Machine Learning (Stanford/Coursera)",False,False,1,"Robotics Competitions, Coding Clubs, Volunteering","Probability and Statistics, Sociology, Bioinformatics, Operating Systems",3,"Analytical, Intuitive",Machine Learning Engineer
"Database Engineering, Game Development",Remote,7.1,"Customer Focus, Empathy, Innovative Thinking",,"Pandas, CircleCI, Docker, Jest, Jenkins, Spring Boot",,False,False,4,"Podcast Creation, Robotics Competitions, Hackathons, Student Government","Web Technologies, User Interface Design",0,"Data-driven, Intuitive",IoT Engineer
"Quantum Computing, Systems Programming",On-site,9.8,"Teamwork, Work Ethic, Adaptability","SQL, PHP, Go, Swift","Kubernetes, Google Colab, NumPy, Weights & Biases",Microsoft Certified: Power BI Data Analyst Associate,True,True,5,Case Competitions,"Physics, Computer Vision",2,Collaborative,Research Intern (AI/ML)
"Ethical Hacking, Academic Research, Education Technology",Hybrid,7.8,"Communication, Accountability, Negotiation",,"ELK Stack, Express.js, PostgreSQL, DBT, Looker","PCEP – Certified Entry-Level Python Programmer, Offensive Security Certified Professional (OSCP)",False,False,0,"UI/UX Projects, Sports, AR/VR Projects, Music","Mobile Application Development, Economics",3,Strategic,AI Prompt Engineer
"Database Engineering, Software Engineering",Hybrid,6.6,"Strategic Thinking, Negotiation, Decision Making","Python, Ruby, SQL, Go, C#","MongoDB, Android Studio, Grafana",,True,True,5,"Teaching/TA Work, UI/UX Projects, Sports","Human Computer Interaction, Object-Oriented Programming",0,Logical,Software Developer (Backend)
"Networking, Technical Writing, Ethical Hacking",Hybrid,7.3,"Innovative Thinking, Collaboration, Adaptability, Business Communication, Strategic Thinking",C#,"Figma, MySQL, Xcode, Looker",,True,True,8,"Tech Meetups, Animation Design, Startup Ideation Events","Psychology, Probability and Statistics, Operating Systems, Biology",1,"Strategic, Big Picture Thinker",Research Intern (General)
"Technical Writing, Design Systems",On-site,9.8,Work Ethic,"PowerShell, Go, TypeScript","Figma, PostgreSQL","Google Cloud Associate Cloud Engineer, Linux Foundation Certified Kubernetes Admin, Offensive Security Certified Professional (OSCP)",False,False,2,Teaching/TA Work,"Machine Learning, Big Data Analytics, Sociology",0,Strategic,Blockchain Developer
"Project Management, Academic Research, Mobile App Development",Hybrid,7.2,"Critical Thinking, Problem Solving","Kotlin, C++, Java","Firebase, Git, Gradle",Google Data Analytics Certificate,True,True,6,"AR/VR Projects, Club Leadership Roles, Open Source Contributions","Probability and Statistics, Robotics, Object-Oriented Programming",1,"Strategic, User-Centered",Mobile Developer (Android)
"Education Technology, Systems Programming",Remote,8.4,"Leadership, Strategic Thinking","CSS, JavaScript","Sketch, GCP, Insomnia, Android Studio","Backend Development (Node.js), SAFe Agilist Certification",True,True,1,"Entrepreneurship Clubs, Debate Clubs, Volunteering","Project Management, Object-Oriented Programming",4,"Detail-Oriented, Data-driven",Platform Engineer
"Ethical Hacking, Product Management, Mobile App Development",Remote,8.1,Goal-Oriented Mindset,"Objective-C, Swift","Scikit-learn, React Native, Xcode",Certified ScrumMaster (CSM),True,True,8,"Sports, Hackathons, Workshop Hosting","Software Engineering, Object-Oriented Programming",4,"Detail-Oriented, Logical",Mobile Developer (iOS)
"Consulting, Mobile App Development, Platform Engineering",Remote,6.7,Goal-Oriented Mindset,"PHP, HTML, Kotlin, Swift","Firebase, Postman, Android Studio, Gradle","Kubernetes Certified Administrator (CKA), Certified Ethical Hacker (CEH)",True,True,2,Blogging,"Operating Systems, Object-Oriented Programming",3,"Innovative, Problem Solving",Mobile Developer (Android)
"Database Engineering, Product Management",Hybrid,7.6,Accountability,"Lisp, R, Go, Java","PyTorch, Grafana, Tableau, MySQL, Flutter, Laravel",Oracle Certified Java Programmer,True,False,0,Workshop Hosting,"Entrepreneurship, Blockchain, Operating Systems, Computer Networks",2,"Detail-Oriented, Creative",Game Developer
"Database Engineering, Mobile App Development",Hybrid,7.1,"Emotional Intelligence, Strategic Thinking, Goal-Oriented Mindset, Conflict Resolution",C++,"Spring Boot, Angular, Git, Android Studio, NumPy, Gradle",,False,False,0,"Online Coding Contests, Community Service, Workshop Hosting, Student Government","Mobile Application Development, Object-Oriented Programming",0,Innovative Thinking,Mobile Developer (Android)
"Full Stack Development, Data Science, Consulting",Hybrid,9.4,Goal-Oriented Mindset,Rust,"Vue.js, AWS, Google Colab, Postman, Azure, Spring Boot","Backend Development (Node.js), ISTQB Foundation Level",False,False,1,"Photography, Volunteering, Coding Clubs, Blogging","Data Structures and Algorithms, Cloud Computing, Blockchain, Compiler Design",0,"Pragmatic, Result-Oriented",Big Data Engineer
"Entrepreneurship, IoT (Internet of Things)",Hybrid,6.9,"Time Management, Multitasking, Goal-Oriented Mindset","Lisp, Julia, Java","Sketch, React","Project Management Professional (PMP), iOS App Development with Swift (Apple)",False,False,1,,"Cyber Security, Linear Algebra, Robotics, Ethical Hacking",2,Big Picture Thinker,Bioinformatics Engineer
Mobile App Development,On-site,8.8,"Strategic Thinking, Emotional Intelligence, Business Communication","Shell (Bash), Swift, TypeScript","SwiftUI, Express.js, MongoDB, Git, Core Data",iOS App Development with Swift (Apple),False,False,6,"Graphic Design, Debate Clubs, Music, Volunteering","Mobile Application Development, Sociology",3,"User-Centered, Innovative",Mobile Developer (iOS)
"Machine Learning, DevOps, Data Science",Remote,8.2,"Customer Focus, Conflict Resolution, Decision Making, Adaptability","Kotlin, Shell (Bash), C++","Express.js, Confluence, Power BI, Git, Jenkins, Xcode",Cisco CCNA,True,True,3,Volunteering,"Web Technologies, Operating Systems, Artificial Intelligence, Mobile Application Development",4,Strategic,Data Engineer
"Business Analysis, Computer Vision",Remote,6.2,"Multitasking, Collaboration, Resilience","C#, JavaScript, MATLAB, SQL","Pandas, Cypress","ISTQB Foundation Level, Android Developer Certification (Google), SAFe Agilist Certification",True,False,0,"Robotics Competitions, Community Service, Volunteering","Cloud Computing, Sociology, Data Mining, Object-Oriented Programming",1,"Experimental, Systematic",Software Test Automation Engineer
"Full Stack Development, Database Engineering, Frontend Development",Hybrid,8.7,"Work Ethic, Adaptability, Decision Making","Lisp, Haskell, TypeScript, C++","React, Docker, PostgreSQL","AWS Certified Cloud Practitioner, Backend Development (Node.js)",False,False,4,"Online Coding Contests, Student Government","Web Technologies, Software Engineering, Robotics, Database Management Systems",1,Systematic,Full Stack Developer
"Human Computer Interaction, Frontend Development",Hybrid,7.1,"Leadership, Business Communication, Collaboration, Decision Making",PHP,"InVision, React Native, Weights & Biases, GitHub, Android Studio, Tableau","Microsoft Certified: Azure AI Engineer, Cisco CCNA, Offensive Security Certified Professional (OSCP)",True,True,3,"Startup Ideation Events, Podcast Creation","Database Management Systems, Object-Oriented Programming",4,"Analytical, Data-driven",Technical Consultant
"DevOps, Cloud Computing",On-site,6.6,"Teamwork, Analytical Thinking, Presentation Skills","HTML, PHP, Go, Java","Figma, Jira, GCP, GitLab CI/CD",,True,True,4,"Student Government, Sports, Community Service, Animation Design","Cloud Computing, Virtualization and Containers",1,Systematic,DevOps Engineer
"DevOps, Deep Learning, Cloud Computing",Remote,6.0,"Work Ethic, Goal-Oriented Mindset, Business Communication",,"Airflow, Insomnia, Flutter, Node.js, Unreal Engine",AWS Certified Cloud Practitioner,True,False,7,"Robotics Competitions, Technical Writing, Hackathons, Event Management","Machine Learning, Human Computer Interaction, Ethical Hacking, IoT (Internet of Things)",1,Analytical,Cybersecurity Analyst
"DevOps, Deep Learning",On-site,9.3,"Teamwork, Conflict Resolution",,"Airflow, Swagger, Prometheus, Git","AWS Certified Security Specialty, Machine Learning (Stanford/Coursera), Cisco CCNA",True,True,7,"Teaching/TA Work, Volunteering, Sports, Entrepreneurship Clubs","Mobile Application Development, Robotics",0,"Strategic, Collaborative",Data Engineer
"Deep Learning, Technical Writing",Remote,9.0,"Communication, Business Communication, Resilience","Rust, PowerShell","Android Studio, Looker",,True,True,5,"Teaching/TA Work, Video Editing","Ethical Hacking, User Interface Design, Computer Networks",0,Detail-Oriented,MS in Data Science
Deep Learning,Remote,8.1,Communication,"Lisp, Swift, Shell (Bash)","MongoDB, Angular, Selenium, Xcode, Spring Boot","Salesforce Certified Administrator, IBM Data Science Professional Certificate, Google UX Design Certificate",False,False,0,"Entrepreneurship Clubs, Video Editing","Quantum Computing, Sociology",3,Data-driven,AR/VR Developer
"DevOps, Deep Learning",Hybrid,7.4,"Communication, Conflict Resolution, Time Management, Negotiation, Leadership","JavaScript, C++","Jest, React Native, Xcode, Git",,False,False,5,"Workshop Hosting, Podcast Creation, 3D Modeling, Event Management","Artificial Intelligence, Cloud Computing, Software Engineering, Mobile Application Development",4,"Strategic, Creative",Data Engineer
Site Reliability Engineering (SRE),On-site,6.1,"Creative Thinking, Emotional Intelligence, Decision Making, Accountability","C#, Shell (Bash)","Spark, Kubernetes, Azure, Tableau",,False,False,8,Tech Meetups,"Physics, Database Management Systems, Bioinformatics, Blockchain",3,Data-driven,Technical Writer
"Technical Writing, Computer Vision",Hybrid,9.2,"Innovative Thinking, Critical Thinking, Adaptability, Leadership","Rust, Ruby, MATLAB","GCP, IntelliJ IDEA, Vue.js, VS Code, MySQL",Tableau Desktop Specialist,False,True,6,"Photography, Open Source Contributions, Podcast Creation, Music","Data Structures and Algorithms, Economics",3,"Strategic, Analytical",Technical Program Manager (TPM)
"Product Management, Technical Writing",Hybrid,9.4,"Innovative Thinking, Teamwork, Critical Thinking, Problem Solving","CSS, C#, MATLAB","Flask, TensorFlow, Jira, Looker, Xcode",,True,True,1,Event Management,"Biology, Blockchain, Operating Systems, IoT (Internet of Things)",4,"Systematic, Data-driven",Research Intern (General)
"Deep Learning, Technical Writing, Computer Vision",On-site,9.4,"Active Listening, Conflict Resolution","PHP, Rust, Kotlin, Scala","Kubernetes, DBT, Looker",,True,True,5,,"Linear Algebra, Sociology, User Interface Design, Theory of Computation",0,"Strategic, Collaborative",MS in Data Science
"Project Management, Web Development",Remote,7.5,"Negotiation, Analytical Thinking, Strategic Thinking, Time Management, Accountability",,"Angular, Express.js, Canva, InVision",HashiCorp Certified: Terraform Associate,True,True,7,"Public Speaking, UI/UX Projects","Probability and Statistics, Natural Language Processing, Object-Oriented Programming, Psychology",0,Pragmatic,AI Ethicist
"Full Stack Development, Backend Development",On-site,8.4,"Critical Thinking, Goal-Oriented Mindset, Negotiation","SQL, CSS, HTML, Swift","Docker, MongoDB, Terraform",,False,False,4,"Mentorship Programs, Startup Ideation Events, Video Editing","Software Engineering, Database Management Systems, Bioinformatics",1,Problem Solving,Full Stack Developer
"Artificial Intelligence, Big Data",On-site,9.0,"Multitasking, Problem Solving, Planning and Organization, Collaboration",,"GCP, Figma, Jira, Flutter, Node.js","Google Data Analytics Certificate, Machine Learning (Stanford/Coursera)",False,False,5,"Innovation Challenges, Open Source Contributions, 3D Modeling","Robotics, Natural Language Processing, User Interface Design",4,Result-Oriented,Solutions Architect
"Cloud Computing, Infrastructure",On-site,7.5,"Work Ethic, Analytical Thinking, Innovative Thinking","Shell (Bash), Go","IntelliJ IDEA, AWS, Ansible, Git","Google Cloud Associate Cloud Engineer, Microsoft Certified Azure Fundamentals, AWS Certified Solutions Architect - Associate",True,True,3,"Graphic Design, Hackathons","Project Management, Compiler Design, Cloud Computing",3,"Strategic Thinking, Collaborative",Cloud Engineer
"Human Computer Interaction, Embedded Systems",Remote,6.5,"Customer Focus, Accountability, Critical Thinking, Collaboration, Presentation Skills",Dart,"MySQL, Jest, Tableau","Project Management Professional (PMP), Docker Certified Associate",True,True,7,"Online Coding Contests, Debate Clubs","Ethical Hacking, Computer Architecture",0,Innovative,Database Administrator
"Machine Learning, Computer Vision",Hybrid,7.5,Resilience,"Shell (Bash), Java","AWS, Docker, MLflow, Jenkins",HashiCorp Certified: Terraform Associate,True,False,6,"Coding Clubs, Open Source Contributions, Video Editing, Startup Ideation Events","Probability and Statistics, Artificial Intelligence, Blockchain",4,"Logical, Innovative Thinking",Machine Learning Engineer
"Embedded Systems, Deep Learning",Remote,9.2,"Attention to Detail, Active Listening, Resilience, Creative Thinking, Business Communication",,"Confluence, InVision",iOS App Development with Swift (Apple),False,False,6,"Case Competitions, Community Service","Economics, IoT (Internet of Things), Robotics, Psychology",3,"Strategic, Result-Oriented",Network Engineer
Consulting,On-site,8.4,"Strategic Thinking, Analytical Thinking, Negotiation, Leadership",,"Figma, AWS, Android Studio",,True,True,3,3D Modeling,"Data Structures and Algorithms, Cloud Computing, User Interface Design, Cryptography",3,"Collaborative, Intuitive",Big Data Engineer
"Backend Development, Web Development, Ethical Hacking",Hybrid,7.8,"Negotiation, Adaptability, Strategic Thinking, Business Communication, Decision Making",Go,"Express.js, Figma, AWS, Vue.js, PyTorch, Spring Boot",,False,False,2,"3D Modeling, Graphic Design, Case Competitions, Student Government","Cloud Computing, Economics",2,"Collaborative, Big Picture Thinker",Business Analyst
"Full Stack Development, Software Engineering",On-site,6.0,"Strategic Thinking, Creative Thinking, Multitasking, Conflict Resolution, Negotiation",,"Kafka, Django, Flutter, Azure, React","AWS Certified Cloud Practitioner, Backend Development (Node.js), Responsive Web Design (freeCodeCamp)",False,False,6,"Coding Clubs, Blogging","Web Technologies, Software Engineering, Cryptography",3,Systematic,Full Stack Developer
"Data Science, Consulting",On-site,7.7,Active Listening,,"ELK Stack, Flask, Airflow, Google Colab, Grafana","Backend Development (Node.js), Project Management Professional (PMP), Oracle Certified Java Programmer",True,False,3,,"Cloud Infrastructure, Mobile Application Development",1,"Creative, Intuitive",MLOps Engineer
"Data Science, Consulting, Cloud Computing",Hybrid,8.4,Work Ethic,Scala,"Figma, AWS, Hadoop","Certified Ethical Hacker (CEH), Microsoft Certified: Azure AI Engineer, PCEP – Certified Entry-Level Python Programmer",False,False,7,,"Data Structures and Algorithms, Cloud Computing, Economics, Blockchain",4,Collaborative,Big Data Engineer
"Site Reliability Engineering (SRE), Finance Technology",On-site,9.0,Analytical Thinking,"MATLAB, Python, PHP, Ruby","Android Studio, DBT",Google Cloud Associate Cloud Engineer,True,False,0,"UI/UX Projects, Robotics Competitions, Music","Probability and Statistics, Cloud Computing, Sociology, Bioinformatics",0,Pragmatic,Quality Assurance Engineer
Full Stack Development,On-site,8.1,Communication,"SQL, HTML, Java, TypeScript","React, Spring Boot, Git","AWS Certified Cloud Practitioner, Linux Foundation Certified Kubernetes Admin, Responsive Web Design (freeCodeCamp)",False,False,6,AR/VR Projects,"Web Technologies, Human Computer Interaction, Database Management Systems",4,"Systematic, Data-driven",Full Stack Developer
"Cloud Computing, Site Reliability Engineering (SRE)",On-site,7.4,"Creative Thinking, Resilience, Business Communication, Work Ethic","Go, PowerShell","ELK Stack, VS Code, AWS, Azure","Certified Ethical Hacker (CEH), Microsoft Certified: Azure AI Engineer",False,True,2,"Graphic Design, Hackathons, Video Editing, Animation Design","Distributed Systems, Mobile Application Development, Computer Networks",3,"Automation Mindset, Creative",DevOps Engineer
Web Development,On-site,7.5,"Time Management, Emotional Intelligence, Resilience",,"Django, InVision, AWS, Swagger, GitHub, Podman",ISTQB Foundation Level,False,False,5,,"Robotics, Blockchain, Object-Oriented Programming, Psychology",2,Analytical,AI Ethicist
"DevOps, Cloud Computing",Remote,9.8,"Attention to Detail, Resilience, Creative Thinking, Innovative Thinking",,"Angular, Terraform","Kubernetes Certified Administrator (CKA), Docker Certified Associate",True,False,5,"Video Editing, Open Source Contributions","Distributed Systems, Probability and Statistics, Quantum Computing, Software Engineering",0,"Strategic, Problem Solving",DevOps Engineer
"Data Science, Consulting",Remote,9.6,"Resilience, Active Listening","PHP, Shell (Bash)","Figma, AWS, Flutter, Pandas",Frontend Development Libraries (freeCodeCamp),False,False,8,"Event Management, Sports, Video Editing, Mentorship Programs","Information Security, Chemistry, Cloud Computing, Software Engineering",1,Result-Oriented,Big Data Engineer
"Artificial Intelligence, Deep Learning, UI/UX Design",On-site,7.5,"Leadership, Business Communication, Innovative Thinking, Problem Solving, Negotiation","R, C#, Shell (Bash)","Node.js, Cypress","AWS Certified Security Specialty, Certified ScrumMaster (CSM), Cisco CCNA",True,True,5,"Public Speaking, Innovation Challenges, Mentorship Programs","Human Computer Interaction, Sociology, Ethical Hacking",0,"Systematic, Strategic",Cybersecurity Analyst
"Full Stack Development, DevOps, Site Reliability Engineering (SRE)",Hybrid,6.3,"Empathy, Conflict Resolution","Python, Shell (Bash), Scala, TypeScript","Mocha, Insomnia, CircleCI",,True,True,1,"Debate Clubs, Graphic Design","Sociology, Ethical Hacking",2,"Analytical, Intuitive",Cybersecurity Analyst
"Deep Learning, Frontend Development",Hybrid,6.0,"Emotional Intelligence, Leadership, Active Listening, Accountability, Time Management",,"Kubernetes, Angular, Node.js, Xcode, Spring Boot",PCEP – Certified Entry-Level Python Programmer,False,True,2,"Startup Ideation Events, Event Management, Blogging, Online Coding Contests","Quantum Computing, Mobile Application Development, Information Security, Sociology",0,Detail-Oriented,AR/VR Developer
"Embedded Systems, Design Systems",Hybrid,8.4,"Collaboration, Multitasking, Conflict Resolution",,"Google Colab, Adobe XD","Deep Learning Specialization (Coursera), Google UX Design Certificate",False,False,2,"Tech Meetups, Workshop Hosting, 3D Modeling, Robotics Competitions","Human Computer Interaction, Graphic Design",2,Creative,UI/UX Designer
Mobile App Development,Remote,9.2,"Adaptability, Analytical Thinking","Kotlin, Ruby, Java","CircleCI, Git, Unreal Engine, Android Studio, Gradle","AWS Certified Cloud Practitioner, Microsoft Certified: SQL Associate, Google UX Design Certificate",True,True,0,"Photography, Startup Ideation Events","Mobile Application Development, Technical Communication, Object-Oriented Programming",1,Problem Solving,Mobile Developer (Android)
"Artificial Intelligence, Big Data, Bioinformatics",Remote,8.2,"Accountability, Empathy","SQL, Python, R","Scikit-learn, NumPy, InVision","Deep Learning Specialization (Coursera), Machine Learning (Stanford/Coursera), IBM Data Science Professional Certificate",False,False,8,"Startup Ideation Events, Gaming","Machine Learning, Technical Communication, Data Mining, Computer Architecture",2,Analytical,Data Scientist
"Natural Language Processing, Computer Vision",On-site,6.3,"Customer Focus, Innovative Thinking",TypeScript,"Figma, InVision",PCEP – Certified Entry-Level Python Programmer,True,True,7,"Technical Writing, Hackathons","Chemistry, Digital Logic Design, Sociology, Business Intelligence",2,"Detail-Oriented, Strategic",Ph.D. Candidate
"Artificial Intelligence, Big Data",Hybrid,7.6,"Work Ethic, Innovative Thinking, Active Listening","SQL, Python, R","Express.js, TensorFlow, Angular, Ansible, DBT, NumPy",,True,False,4,"Podcast Creation, Open Source Contributions, Case Competitions, Robotics Competitions","Machine Learning, Chemistry, Robotics, Computer Architecture",2,Critical Thinking,Data Scientist
"Web Development, Big Data, Design Systems",Remote,9.9,"Multitasking, Business Communication, Strategic Thinking, Emotional Intelligence, Decision Making","C#, Scala","Ansible, Kafka",Backend Development (Node.js),True,True,8,Mentorship Programs,"Digital Logic Design, IoT (Internet of Things)",2,"Systematic, Strategic",MS in Computer Science
"Data Science, Consulting",Hybrid,6.4,Business Communication,,"Figma, AWS, Canva",,False,False,4,Student Government,"Data Structures and Algorithms, Cloud Computing, Ethical Hacking",4,Result-Oriented,Big Data Engineer
"Embedded Systems, Quality Assurance / Testing, Human Computer Interaction",Remote,8.3,"Active Listening, Customer Focus, Conflict Resolution","PowerShell, Go, Swift, C++","MySQL, Tableau","AWS Certified Security Specialty, PCEP – Certified Entry-Level Python Programmer",True,True,1,AR/VR Projects,"Human Computer Interaction, Computer Architecture, Virtualization and Containers",3,Innovative,Database Administrator
UI/UX Design,Remote,6.8,"Teamwork, Conflict Resolution",,"Node.js, Kubernetes, Insomnia","Microsoft Certified: Azure AI Engineer, CompTIA Security+",True,True,1,,"Machine Learning, Artificial Intelligence, Ethical Hacking",0,"Systematic, Detail-Oriented",Cybersecurity Analyst
"Embedded Systems, Digital Marketing",On-site,7.4,"Empathy, Adaptability, Business Communication, Leadership, Negotiation",,"Airflow, VS Code, Tableau, InVision","HashiCorp Certified: Terraform Associate, Microsoft Certified: Azure AI Engineer, Linux Foundation Certified Kubernetes Admin",False,False,8,,"Ethical Hacking, Computer Architecture",1,Innovative,Database Administrator
"Data Science, Natural Language Processing",On-site,7.7,Goal-Oriented Mindset,"R, PowerShell","Node.js, InVision","Frontend Development Libraries (freeCodeCamp), Microsoft Certified: Azure AI Engineer",True,True,0,"Podcast Creation, Student Government","Chemistry, Database Management Systems, Probability and Statistics, Calculus",2,Pragmatic,Ph.D. Candidate
Education Technology,On-site,8.5,"Empathy, Negotiation, Leadership","Rust, JavaScript","GitLab CI/CD, GCP, Sketch, Xcode, Unity","Salesforce Certified Administrator, PCEP – Certified Entry-Level Python Programmer, Android Developer Certification (Google)",True,True,0,,"Entrepreneurship, Physics, Economics",4,Big Picture Thinker,Platform Engineer
"Human Computer Interaction, Ethical Hacking, Education Technology",Hybrid,9.2,"Accountability, Empathy, Conflict Resolution","C#, HTML, Kotlin, TypeScript","ELK Stack, Express.js","CompTIA Security+, iOS App Development with Swift (Apple), Certified ScrumMaster (CSM)",True,True,4,"AR/VR Projects, Technical Writing","Mobile Application Development, Economics, User Interface Design, Object-Oriented Programming",1,"Strategic, Logical",AI Prompt Engineer
"Software Engineering, Frontend Development, IoT (Internet of Things)",On-site,9.7,"Collaboration, Creative Thinking","Go, Shell (Bash), Scala","Hadoop, Pytest, Git, NumPy, Spring Boot","Google Cloud Associate Cloud Engineer, Backend Development (Node.js), CompTIA Security+",False,False,4,"Club Leadership Roles, Podcast Creation, Robotics Competitions","Quantum Computing, Sociology, Object-Oriented Programming",0,"Detail-Oriented, Strategic",AR/VR Developer
"Site Reliability Engineering (SRE), Ethical Hacking",Hybrid,6.4,"Time Management, Innovative Thinking, Adaptability",,"Azure, Tableau","Android Developer Certification (Google), SAFe Agilist Certification",True,True,7,Community Service,"Data Mining, Bioinformatics, Psychology",3,"Detail-Oriented, Data-driven",Technical Writer
"Big Data, Design Systems",Hybrid,6.8,"Strategic Thinking, Presentation Skills, Empathy","JavaScript, Shell (Bash), TypeScript","Confluence, Kafka",,True,True,6,Innovation Challenges,"Web Technologies, Cyber Security, Robotics, Digital Logic Design",0,Logical,MS in Computer Science
"Quantum Computing, Platform Engineering",Hybrid,6.3,"Teamwork, Multitasking, Customer Focus","SQL, Shell (Bash), Go","Angular, Google Colab, Weights & Biases","Google Cloud Associate Cloud Engineer, Microsoft Certified: Power BI Data Analyst Associate, Machine Learning (Stanford/Coursera)",True,True,1,"UI/UX Projects, Blogging","Data Mining, Computer Vision",1,Collaborative,Research Intern (AI/ML)
"Technical Writing, Bioinformatics",Remote,9.1,"Conflict Resolution, Attention to Detail, Innovative Thinking","Python, HTML, Scala","Figma, Hadoop, Django","Backend Development (Node.js), Linux Foundation Certified Kubernetes Admin, Responsive Web Design (freeCodeCamp)",False,False,3,"Event Management, Case Competitions, Mentorship Programs","Entrepreneurship, Data Structures and Algorithms, Sociology",0,Strategic,Blockchain Developer
"Database Engineering, Frontend Development, IoT (Internet of Things)",Hybrid,7.4,"Accountability, Decision Making, Resilience, Adaptability, Business Communication",Ruby,"PyTorch, Mocha, JUnit, VS Code, Grafana","SAFe Agilist Certification, Android Developer Certification (Google), Oracle Certified Java Programmer",False,False,8,Tech Meetups,"Blockchain, Operating Systems",4,"Detail-Oriented, Intuitive",Game Developer
"DevOps, Deep Learning",On-site,8.6,"Critical Thinking, Accountability, Teamwork, Active Listening, Multitasking",HTML,"IntelliJ IDEA, JUnit, React Native, Git, Selenium, Xcode","Google Data Analytics Certificate, Certified Ethical Hacker (CEH)",False,False,5,"Debate Clubs, Coding Clubs","Artificial Intelligence, Sociology, Mobile Application Development, Cryptography",3,"Strategic, Intuitive",Data Engineer
"Cloud Computing, Ethical Hacking",On-site,9.3,"Decision Making, Resilience","Shell (Bash), Go, PowerShell","Sketch, Confluence, Vue.js, Prometheus",,True,False,4,"Tech Meetups, Case Competitions, Technical Writing","Distributed Systems, Entrepreneurship, Machine Learning, Operating Systems",2,"Systematic, Analytical",DevOps Engineer
"Digital Marketing, UI/UX Design",On-site,7.7,"Negotiation, Time Management",TypeScript,"CircleCI, Docker, PyCharm, Ansible, DBT, Node.js",AWS Certified Cloud Practitioner,False,False,5,,"Ethical Hacking, Computer Vision",2,Analytical,Cybersecurity Analyst
Big Data,Remote,9.4,"Leadership, Innovative Thinking, Communication, Attention to Detail, Business Communication",,"GitLab CI/CD, Kafka, Confluence, Cypress, Scikit-learn, React","Backend Development (Node.js), Oracle Certified Java Programmer, Responsive Web Design (freeCodeCamp)",True,True,2,"AR/VR Projects, Community Service","Web Technologies, Human Computer Interaction, Digital Logic Design, Computer Networks",4,"Logical, User-Centered",MS in Computer Science
Natural Language Processing,On-site,6.6,"Resilience, Multitasking",,"Azure, Postman, InVision",PCEP – Certified Entry-Level Python Programmer,True,True,2,Case Competitions,"Chemistry, Technical Communication",4,"Big Picture Thinker, Pragmatic",Ph.D. Candidate
"Database Engineering, Frontend Development",Hybrid,8.1,Resilience,,"React Native, Jest, Spring Boot","AWS Certified Security Specialty, Project Management Professional (PMP), Certified ScrumMaster (CSM)",True,True,8,"Blogging, Photography, Entrepreneurship Clubs, Mentorship Programs","Project Management, Mobile Application Development",3,Intuitive,IoT Engineer
"Ethical Hacking, Education Technology",On-site,8.9,"Work Ethic, Critical Thinking, Adaptability, Communication",Ruby,"ELK Stack, Express.js, Helm, Terraform, Jest, Jenkins",,True,True,0,,"Mobile Application Development, Cryptography",0,"Systematic, Strategic",AI Prompt Engineer
"Networking, Infrastructure",Remote,9.2,"Innovative Thinking, Negotiation, Communication, Multitasking","Go, Python, Shell (Bash)","Kubernetes, Mocha, Terraform, Git, Spring Boot","AWS Certified Cloud Practitioner, Microsoft Certified Azure Fundamentals, AWS Certified Solutions Architect - Associate, Google Cloud Associate Cloud Engineer",True,True,0,"Tech Meetups, Club Leadership Roles, Gaming, Teaching/TA Work","Operating Systems, Computer Networks",0,"Problem Solving, Big Picture Thinker",Cloud Engineer
Systems Programming,Remote,7.5,"Leadership, Communication, Adaptability","Assembly, R, JavaScript, CSS","Sketch, Insomnia, Unity","Frontend Development Libraries (freeCodeCamp), Microsoft Certified: Power BI Data Analyst Associate, PCEP – Certified Entry-Level Python Programmer",False,False,3,"Technical Writing, Coding Clubs","Entrepreneurship, Discrete Mathematics",2,"Detail-Oriented, User-Centered",Platform Engineer
IoT (Internet of Things),On-site,6.1,Emotional Intelligence,"PowerShell, PHP, MATLAB, TypeScript","CircleCI, Figma, PyTorch, Terraform, Azure, Grafana","Microsoft Certified: Azure AI Engineer, Oracle Certified Java Programmer",False,False,5,"Debate Clubs, Photography, Volunteering, Case Competitions","Ethical Hacking, Probability and Statistics, Blockchain, Operating Systems",2,Result-Oriented,Game Developer
"Ethical Hacking, Mobile App Development, Networking",Hybrid,9.2,"Customer Focus, Communication, Work Ethic, Presentation Skills",Haskell,"TensorFlow, AWS, Prometheus, Scikit-learn, Node.js",,True,True,1,"Music, Debate Clubs","Cyber Security, Theory of Computation, Economics, Calculus",3,Pragmatic,Business Analyst
